Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1961","1961","ha","50000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1961","1961","kg/ha","4500","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1961","1961","t","225000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1962","1962","ha","50000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1962","1962","kg/ha","4500","X","Figure from international organizations",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1962","1962","t","225000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1963","1963","ha","50000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1963","1963","kg/ha","4500","X","Figure from international organizations",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1963","1963","t","225000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1964","1964","ha","52500","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1964","1964","kg/ha","5047.6","X","Figure from international organizations",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1964","1964","t","265000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1965","1965","ha","55000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1965","1965","kg/ha","5218.2","X","Figure from international organizations",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1965","1965","t","287000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1966","1966","ha","60000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1966","1966","kg/ha","5250","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1966","1966","t","315000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1967","1967","ha","66200","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1967","1967","kg/ha","5619.3","X","Figure from international organizations",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1967","1967","t","372000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1968","1968","ha","70000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1968","1968","kg/ha","5357.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1968","1968","t","375000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1969","1969","ha","70000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1969","1969","kg/ha","5414.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1969","1969","t","379000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1970","1970","ha","70000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1970","1970","kg/ha","5200","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1970","1970","t","364000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1971","1971","ha","70000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1971","1971","kg/ha","4185.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1971","1971","t","293000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1972","1972","ha","70000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1972","1972","kg/ha","5142.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1972","1972","t","360000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1973","1973","ha","70000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1973","1973","kg/ha","5500","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1973","1973","t","385000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1974","1974","ha","70000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1974","1974","kg/ha","5814.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1974","1974","t","407000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1975","1975","ha","70000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1975","1975","kg/ha","6000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1975","1975","t","420000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1976","1976","ha","70000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1976","1976","kg/ha","6728.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1976","1976","t","471000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1977","1977","ha","70100","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1977","1977","kg/ha","6134.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1977","1977","t","430000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1978","1978","ha","70500","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1978","1978","kg/ha","6241.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1978","1978","t","440000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1979","1979","ha","66900","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1979","1979","kg/ha","6606.9","X","Figure from international organizations",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1979","1979","t","442000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1980","1980","ha","66000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1980","1980","kg/ha","6954.5","X","Figure from international organizations",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1980","1980","t","459000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1981","1981","ha","63900","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1981","1981","kg/ha","7120.5","X","Figure from international organizations",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","1981","1981","t","455000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01330","Grapes","1982","1982","ha","62000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","1982","1982","kg/ha","7161.3","X","Figure from international organizations",""
